/contrevenants;/contrevenant/adresse;/contrevenant/categorie;/contrevenant/date_infraction;/contrevenant/date_jugement;/contrevenant/description;/contrevenant/etablissement;/contrevenant/montant;/contrevenant/proprietaire;/contrevenant/ville
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;2050 Rue Cabot ;Usine produit autre;15 mai 2014;27 février 2015;Les lieux, véhicules, équipements, matériaux et ustensiles servant à la préparation au conditionnement, à l'entreposage, au transport, à l'étiquetage et au service des produits, ainsi que les autres installations et locaux sanitaires, doivent être propres.;ROYAL PATATE;1 700 $ ;9073-0383 QUEBEC INC.;Montréal H4E 1E3
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;7354 Ch. de la Côte-Saint-Luc ;Usine produit autre;19 août 2014;20 octobre 2015;Le lieu ou le véhicule doit être exempt de contaminants, de polluants, de toute espèce d'animaux y compris les insectes et les rongeurs ou de leurs excréments.;SOLLY'S;1 000 $ ;3762637 CANADA INC.;Montréal H4W 1P7
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;7354 Ch. de la Côte-Saint-Luc ;Usine produit autre;19 août 2014;20 octobre 2015;Les lieux, véhicules, équipements, matériaux et ustensiles servant à la préparation au conditionnement, à l'entreposage, au transport, à l'étiquetage et au service des produits, ainsi que les autres installations et locaux sanitaires, doivent être propres.;SOLLY'S;1 500 $ ;3762637 CANADA INC.;Montréal H4W 1P7
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;360 Rue Saint-Viateur Ouest ;Traiteur;02 juin 2014;26 avril 2016;Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.;TRAITEUR OINEG;750 $ ;9215-6538 QUEBEC INC.  (Fermé changement d'exploitant);Montréal H2V 1Y2
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;6086 Rue Sherbrooke Est ;Traiteur;03 mars 2017;24 mars 2017;Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.;SALLE DE RÉCEPTION ANTIQUE;250 $ ;9082-1612 QUEBEC INC.;Montréal H1N 1C1
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;360 Rue Saint-Viateur Ouest ;Traiteur;09 juin 2015;17 octobre 2016;Les lieux, véhicules, équipements, matériaux et ustensiles servant à la préparation au conditionnement, à l'entreposage, au transport, à l'étiquetage et au service des produits, ainsi que les autres installations et locaux sanitaires, doivent être propres.;TRAITEUR OINEG;1 800 $ ;9215-6538 QUEBEC INC.  (Fermé changement d'exploitant);Montréal H2V 1Y2
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;5281 Boul. Décarie ;Traiteur;09 octobre 2013;23 mars 2015;Le lieu ou le véhicule doit être exempt de contaminants, de polluants, de toute espèce d'animaux y compris les insectes et les rongeurs ou de leurs excréments.;DAVID TOLEDANO TRAITEUR;1 000 $ ;TOLEDANO DAVID  (Fermé);Montréal H3W 3C2
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;8616 Av. Chaumont ;Traiteur;09 septembre 2015;30 janvier 2017;Les lieux, véhicules, équipements, matériaux et ustensiles servant à la préparation au conditionnement, à l'entreposage, au transport, à l'étiquetage et au service des produits, ainsi que les autres installations et locaux sanitaires, doivent être propres.;KAIDO SUSHI;250 $ ;KAIDO SUSHI INC.;Anjou H1K 1N2
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;33 Rue Notre-Dame Ouest ;Traiteur;11 mai 2016;23 mars 2017;Le lieu ou le véhicule doit être exempt de contaminants, de polluants, de toute espèce d'animaux y compris les insectes et les rongeurs ou de leurs excréments.;EUROPEA ESPACE BOUTIQUE PAT. TRAITEUR;1 000 $ ;DERNIEREMINUTE CITE.COM INC.;Montréal H2Y 1S5
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;800 Rue De La Gauchetière Ouest ;Traiteur;11 novembre 2014;15 avril 2015;Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.;GREEN TRAITEUR ET CAFE;1 000 $ ;8496293 CANADA INC.  (Fermé changement d'exploitant);Montréal H5A 1K6
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;800 Rue De La Gauchetière Ouest ;Traiteur;15 janvier 2015;23 décembre 2015;Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.;GREEN TRAITEUR ET CAFE;1 500 $ ;8496293 CANADA INC.  (Fermé changement d'exploitant);Montréal H5A 1K6
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;360 Rue Saint-Viateur Ouest ;Traiteur;20 août 2015;17 octobre 2016;Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.;TRAITEUR OINEG;1 800 $ ;9215-6538 QUEBEC INC.  (Fermé changement d'exploitant);Montréal H2V 1Y2
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;1510 Rue Fleury Est ;Traiteur;20 février 2014;11 décembre 2014;Le lieu ou le véhicule doit être exempt de contaminants, de polluants, de toute espèce d'animaux y compris les insectes et les rongeurs ou de leurs excréments.;CHEMIN FAISANT;1 000 $ ;9014-6309 QUEBEC INC.;Montréal H2C 1S4
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;360 Rue Saint-Viateur Ouest ;Traiteur;27 novembre 2014;26 avril 2016;Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.;TRAITEUR OINEG;1 000 $ ;9215-6538 QUEBEC INC.  (Fermé changement d'exploitant);Montréal H2V 1Y2
